Most Compatible Couple


Couple id:Boy_id1_Girl_id9 	Compatibility:31995	Gift Exchanged: 10
Couple id:Boy_id13_Girl_id3 	Compatibility:31934	Gift Exchanged: 8
Couple id:Boy_id22_Girl_id2 	Compatibility:31855	Gift Exchanged: 6
Couple id:Boy_id7_Girl_id4 	Compatibility:31778	Gift Exchanged: 12
Couple id:Boy_id11_Girl_id19 	Compatibility:31732	Gift Exchanged: 3
Couple id:Boy_id16_Girl_id1 	Compatibility:31730	Gift Exchanged: 15
Couple id:Boy_id9_Girl_id16 	Compatibility:31647	Gift Exchanged: 17
Couple id:Boy_id8_Girl_id18 	Compatibility:31608	Gift Exchanged: 17
Couple id:Boy_id6_Girl_id17 	Compatibility:31520	Gift Exchanged: 7
Couple id:Boy_id17_Girl_id12 	Compatibility:31488	Gift Exchanged: 19
Couple id:Boy_id23_Girl_id6 	Compatibility:31462	Gift Exchanged: 20
Couple id:Boy_id20_Girl_id5 	Compatibility:31423	Gift Exchanged: 20
Couple id:Boy_id10_Girl_id7 	Compatibility:31421	Gift Exchanged: 7
